,timeslice,region,technology,year,agent,category,sector,LCOE
28814,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,8.63278840806
28815,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,78.05298331031
28816,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,8.63278840806
28817,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,49.83194223365
28818,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,29.50322575210
28819,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,19.21014383243
28820,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,19.21014383243
28821,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,7.34406708261
28822,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,16.63219558050
28823,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,7.34406708261
28824,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,16.63219558050
28825,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,7.34406708261
28826,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,16.63219558050
28827,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,12.83586708806
28828,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,12.83586708806
28829,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,7.34406708261
28830,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,8.63278840806
