commodity,year,asset,region,technology,installed,supply
CO2f,2040,0,Kenya,gasboiler,2030,255.24500000000
CO2f,2040,1,Kenya,gasboiler,2035,611.15000000000
CO2f,2045,1,Kenya,gasboiler,2035,611.15000000000
CO2f,2045,2,Kenya,gasboiler,2040,557.58450000000
heat,2040,0,Kenya,gasboiler,2030,3.94440000000
heat,2040,1,Kenya,gasboiler,2035,9.44440000000
heat,2040,3,Kenya,heatpump,2030,9.94440000000
heat,2045,1,Kenya,gasboiler,2035,9.44440000000
heat,2045,2,Kenya,gasboiler,2040,8.61670000000
heat,2045,4,Kenya,heatpump,2040,8.60560000000
