Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,32218
CSP (Twh/yr),Estimated Renewable Energy Potential,26605
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,36601
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,6185
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,572.9
Hydropower (MW),Estimated Renewable Energy Potential,3664
Small Hydropower (MW),Estimated Renewable Energy Potential,51.7
Geothermal (MW),Estimated Renewable Energy Potential,0
