Power Generation Technology,Year,Value,Parameter
Light Fuel Oil Power Plant,2015,546.33,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,600.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,16545.67,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,294.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,25.0,Estimated Installed Capacity (MW)
CSP without Storage,2015,20.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,2700.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,150.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,810.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,25.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,546.33,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,600.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,16545.67,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,294.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,25.0,Estimated Installed Capacity (MW)
CSP without Storage,2016,20.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,2700.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,150.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,810.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,39.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,546.33,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,600.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,16545.67,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,294.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,25.0,Estimated Installed Capacity (MW)
CSP without Storage,2017,20.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,2700.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,150.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,810.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,39.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,546.33,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,600.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,16545.67,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,294.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,25.0,Estimated Installed Capacity (MW)
CSP without Storage,2018,20.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,2700.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,150.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,810.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,50.0,Estimated Installed Capacity (MW)
