Technology,Parameter,Value
"Total Recoverable Coal (mil. short tons, 2017)",Estimated Reserves,17.67
"Crude Oil Proven Reserves (billion barrels, 2019)",Estimated Reserves,3.3
"Natural Gas Proven Reserves (trillion cubic feet, 2019)",Estimated Reserves,63.0
