Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,938
CSP (Twh/yr),Estimated Renewable Energy Potential,1122
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,599
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,40.1
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,3.7
Hydropower (MW),Estimated Renewable Energy Potential,263
Small Hydropower (MW),Estimated Renewable Energy Potential,38.2
Geothermal (MW),Estimated Renewable Energy Potential,0
