Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,27904
CSP (Twh/yr),Estimated Renewable Energy Potential,26530
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,30155
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,2535.9
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,153.4
Hydropower (MW),Estimated Renewable Energy Potential,0
Small Hydropower (MW),Estimated Renewable Energy Potential,0
Geothermal (MW),Estimated Renewable Energy Potential,0
