Power Generation Technology,Year,Value,Parameter
Gas Power Plant (CCGT),2015,35938.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,143.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,54.0,Estimated Installed Capacity (MW)
CSP without Storage,2015,25.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,251.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,24.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,49.1,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,35938.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,143.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,54.0,Estimated Installed Capacity (MW)
CSP without Storage,2016,25.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,251.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,24.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,219.1,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,35938.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,143.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,54.0,Estimated Installed Capacity (MW)
CSP without Storage,2017,25.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,251.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,24.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,400.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,35738.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,143.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,54.0,Estimated Installed Capacity (MW)
CSP without Storage,2018,25.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,251.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,24.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,423.0,Estimated Installed Capacity (MW)
