Technology,Parameter,Value
"Total Recoverable Coal (mil. short tons, 2017)",Estimated Reserves,65.04
"Crude Oil Proven Reserves (billion barrels, 2019)",Estimated Reserves,12.2
"Natural Gas Proven Reserves (trillion cubic feet, 2019)",Estimated Reserves,159.05
