Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,947
CSP (Twh/yr),Estimated Renewable Energy Potential,852
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,934
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,149.1
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,77.3
Hydropower (MW),Estimated Renewable Energy Potential,0
Small Hydropower (MW),Estimated Renewable Energy Potential,0
Geothermal (MW),Estimated Renewable Energy Potential,0
