ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
Biomass Power Plant,Vietnam,2020,fixed,87.20192795535263,1.0,2.1879756468797567,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.7,1.0,38.0,0.1,energy,biomass,electricity,1.0
CSP with Storage,Vietnam,2020,fixed,157.44894723490617,1.0,3.805175038051751,1.0,3.17e-06,1.0,10.0,5.0,10000.0,35.0,0.3,1.0,33.0,0.1,energy,solar,electricity,1.0
Coal Power Plant,Vietnam,2020,fixed,41.22272957889397,1.0,1.6489091831557587,1.0,3.17e-06,1.0,10.0,5.0,10000.0,60.0,0.75,1.0,30.0,0.1,energy,coal,electricity,1.0
Gas Power Plant (CCGT),Vietnam,2020,fixed,31.709791983764593,1.0,1.2683916793505836,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.55,1.0,55.00000000000001,0.1,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Vietnam,2020,fixed,24.86047691527144,1.0,0.7293252156265856,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.55,1.0,35.0,0.1,energy,gas,electricity,1.0
Geothermal Power Plant,Vietnam,2020,fixed,79.27447995941148,1.0,3.1709791983764593,1.0,3.17e-06,1.0,10.0,5.0,12.6144,50.0,0.7,1.0,10.0,0.1,energy,geothermal,electricity,1.0
Large Hydropower Plant (Dam) (>100MW),Vietnam,2020,fixed,48.801369863013704,1.0,1.4640410958904113,1.0,3.17e-06,1.0,10.0,5.0,10000.0,40.0,0.49,100.0,100.0,0.1,energy,hydro,electricity,1.0
Light Fuel Oil Power Plant,Vietnam,2020,fixed,38.05175038051751,1.0,0.5707762557077627,1.0,3.17e-06,1.0,10.0,5.0,10000.0,50.0,0.25,1.0,40.0,0.1,energy,LFO,electricity,1.0
Light Fuel Oil Standalone Generator (1kW),Vietnam,2020,fixed,47.56468797564689,1.0,1.2049720953830545,1.0,3.17e-06,1.0,10.0,5.0,10000.0,20.0,0.4,0.001,42.0,0.1,energy,LFO,electricity,1.0
Medium Hydropower Plant (10-100MW),Vietnam,2020,fixed,50.50925925925927,1.0,1.5154109589041098,1.0,3.17e-06,1.0,10.0,5.0,520.3439999999999,40.0,0.49,10.0,100.0,0.1,energy,hydro,electricity,1.0
Nuclear Power Plant,Vietnam,2020,fixed,174.40385591070526,1.0,4.375951293759513,1.0,3.17e-06,1.0,10.0,5.0,10000.0,60.0,0.83,1.0,33.0,0.1,energy,uranium,electricity,1.0
Offshore Wind,Vietnam,2020,fixed,91.20402080162356,1.0,3.6482115677321163,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.27,1.0,100.0,0.1,energy,wind,electricity,1.0
Oil Fired Gas Turbine (SCGT),Vietnam,2020,fixed,42.617960426179614,1.0,0.5707762557077627,1.0,3.17e-06,1.0,10.0,5.0,10000.0,50.0,0.25,1.0,40.0,0.1,energy,HFO,electricity,1.0
Onshore Wind,Vietnam,2020,fixed,70.39859208523593,1.0,1.888635210553019,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.15,1.0,100.0,0.1,energy,wind,electricity,1.0
Small Hydropower Plant (<10MW),Vietnam,2020,fixed,68.55657026889905,1.0,2.0566971080669716,1.0,3.17e-06,1.0,10.0,5.0,91.044432,40.0,0.49,10.0,100.0,0.1,energy,hydro,electricity,1.0
Solar PV (Distributed with Storage),Vietnam,2020,fixed,67.5672247590056,1.0,1.351471334348047,1.0,3.17e-06,1.0,10.0,5.0,10000.0,24.0,0.23,1.0,100.0,0.1,energy,solar,electricity,1.0
Solar PV (Utility),Vietnam,2020,fixed,36.783358701166925,1.0,0.47818366311517,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.23,1.0,100.0,0.1,energy,solar,electricity,1.0
Biomass Power Plant,Vietnam,2015,fixed,87.20192795535263,1.0,2.1879756468797567,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.7,1.0,38.0,0.1,energy,biomass,electricity,1.0
Biomass Power Plant,Vietnam,2025,fixed,87.20192795535263,1.0,2.1879756468797567,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.7,1.0,38.0,0.1,energy,biomass,electricity,1.0
Biomass Power Plant,Vietnam,2030,fixed,87.20192795535263,1.0,2.1879756468797567,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.7,1.0,38.0,0.1,energy,biomass,electricity,1.0
Biomass Power Plant,Vietnam,2040,fixed,87.20192795535263,1.0,2.1879756468797567,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.7,1.0,38.0,0.1,energy,biomass,electricity,1.0
Biomass Power Plant,Vietnam,2050,fixed,87.20192795535263,1.0,2.1879756468797567,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.7,1.0,38.0,0.1,energy,biomass,electricity,1.0
CSP with Storage,Vietnam,2015,fixed,234.8018138001015,1.0,3.805175038051751,1.0,3.17e-06,1.0,10.0,5.0,10000.0,35.0,0.3,1.0,33.0,0.1,energy,solar,electricity,1.0
CSP with Storage,Vietnam,2025,fixed,126.83916793505837,1.0,3.805175038051751,1.0,3.17e-06,1.0,10.0,5.0,10000.0,35.0,0.3,1.0,33.0,0.1,energy,solar,electricity,1.0
CSP with Storage,Vietnam,2030,fixed,102.20478183663117,1.0,3.805175038051751,1.0,3.17e-06,1.0,10.0,5.0,10000.0,35.0,0.3,1.0,33.0,0.1,energy,solar,electricity,1.0
CSP with Storage,Vietnam,2040,fixed,99.40702688990362,1.0,3.805175038051751,1.0,3.17e-06,1.0,10.0,5.0,10000.0,35.0,0.3,1.0,33.0,0.1,energy,solar,electricity,1.0
CSP with Storage,Vietnam,2050,fixed,99.40702688990362,1.0,3.805175038051751,1.0,3.17e-06,1.0,10.0,5.0,10000.0,35.0,0.3,1.0,33.0,0.1,energy,solar,electricity,1.0
Coal Power Plant,Vietnam,2015,fixed,41.22272957889397,1.0,1.6489091831557587,1.0,3.17e-06,1.0,10.0,5.0,10000.0,60.0,0.75,1.0,30.0,0.1,energy,coal,electricity,1.0
Coal Power Plant,Vietnam,2025,fixed,41.22272957889397,1.0,1.6489091831557587,1.0,3.17e-06,1.0,10.0,5.0,10000.0,60.0,0.75,1.0,30.0,0.1,energy,coal,electricity,1.0
Coal Power Plant,Vietnam,2030,fixed,41.22272957889397,1.0,1.6489091831557587,1.0,3.17e-06,1.0,10.0,5.0,10000.0,60.0,0.75,1.0,30.0,0.1,energy,coal,electricity,1.0
Coal Power Plant,Vietnam,2040,fixed,41.22272957889397,1.0,1.6489091831557587,1.0,3.17e-06,1.0,10.0,5.0,10000.0,60.0,0.75,1.0,30.0,0.1,energy,coal,electricity,1.0
Coal Power Plant,Vietnam,2050,fixed,41.22272957889397,1.0,1.6489091831557587,1.0,3.17e-06,1.0,10.0,5.0,10000.0,60.0,0.75,1.0,30.0,0.1,energy,coal,electricity,1.0
Gas Power Plant (CCGT),Vietnam,2015,fixed,31.709791983764593,1.0,1.2683916793505836,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.55,1.0,55.00000000000001,0.1,energy,gas,electricity,1.0
Gas Power Plant (CCGT),Vietnam,2025,fixed,31.709791983764593,1.0,1.2683916793505836,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.55,1.0,55.00000000000001,0.1,energy,gas,electricity,1.0
Gas Power Plant (CCGT),Vietnam,2030,fixed,31.709791983764593,1.0,1.2683916793505836,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.55,1.0,55.00000000000001,0.1,energy,gas,electricity,1.0
Gas Power Plant (CCGT),Vietnam,2040,fixed,31.709791983764593,1.0,1.2683916793505836,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.55,1.0,55.00000000000001,0.1,energy,gas,electricity,1.0
Gas Power Plant (CCGT),Vietnam,2050,fixed,31.709791983764593,1.0,1.2683916793505836,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.55,1.0,55.00000000000001,0.1,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Vietnam,2015,fixed,24.86047691527144,1.0,0.7293252156265856,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.55,1.0,35.0,0.1,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Vietnam,2025,fixed,24.86047691527144,1.0,0.7293252156265856,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.55,1.0,35.0,0.1,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Vietnam,2030,fixed,24.86047691527144,1.0,0.7293252156265856,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.55,1.0,35.0,0.1,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Vietnam,2040,fixed,24.86047691527144,1.0,0.7293252156265856,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.55,1.0,35.0,0.1,energy,gas,electricity,1.0
Gas Power Plant (SCGT),Vietnam,2050,fixed,24.86047691527144,1.0,0.7293252156265856,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.55,1.0,35.0,0.1,energy,gas,electricity,1.0
