ProcessName,RegionName,Time,ObjSort,month,day,hour,UtilizationFactor,MinimumServiceFactor
Biomass Power Plant,Vietnam,2015,upper,winter,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2015,upper,winter,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2015,upper,spring,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2015,upper,spring,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2015,upper,summer,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2015,upper,summer,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2015,upper,autumn,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2015,upper,autumn,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2020,upper,winter,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2020,upper,winter,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2020,upper,spring,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2020,upper,spring,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2020,upper,summer,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2020,upper,summer,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2020,upper,autumn,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2020,upper,autumn,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2025,upper,winter,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2025,upper,winter,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2025,upper,spring,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2025,upper,spring,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2025,upper,summer,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2025,upper,summer,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2025,upper,autumn,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2025,upper,autumn,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2030,upper,winter,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2030,upper,winter,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2030,upper,spring,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2030,upper,spring,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2030,upper,summer,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2030,upper,summer,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2030,upper,autumn,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2030,upper,autumn,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2040,upper,winter,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2040,upper,winter,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2040,upper,spring,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2040,upper,spring,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2040,upper,summer,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2040,upper,summer,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2040,upper,autumn,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2040,upper,autumn,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2050,upper,winter,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2050,upper,winter,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2050,upper,spring,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2050,upper,spring,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2050,upper,summer,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2050,upper,summer,all-week,day,0.7,0
Biomass Power Plant,Vietnam,2050,upper,autumn,all-week,night,0.7,0
Biomass Power Plant,Vietnam,2050,upper,autumn,all-week,day,0.7,0
CSP with Storage,Vietnam,2015,upper,winter,all-week,night,0.075,0
CSP with Storage,Vietnam,2015,upper,winter,all-week,day,0.452,0
CSP with Storage,Vietnam,2015,upper,spring,all-week,night,0.075,0
CSP with Storage,Vietnam,2015,upper,spring,all-week,day,0.452,0
CSP with Storage,Vietnam,2015,upper,summer,all-week,night,0.075,0
CSP with Storage,Vietnam,2015,upper,summer,all-week,day,0.452,0
CSP with Storage,Vietnam,2015,upper,autumn,all-week,night,0.075,0
CSP with Storage,Vietnam,2015,upper,autumn,all-week,day,0.452,0
CSP with Storage,Vietnam,2020,upper,winter,all-week,night,0.075,0
CSP with Storage,Vietnam,2020,upper,winter,all-week,day,0.452,0
CSP with Storage,Vietnam,2020,upper,spring,all-week,night,0.075,0
CSP with Storage,Vietnam,2020,upper,spring,all-week,day,0.452,0
CSP with Storage,Vietnam,2020,upper,summer,all-week,night,0.075,0
CSP with Storage,Vietnam,2020,upper,summer,all-week,day,0.452,0
CSP with Storage,Vietnam,2020,upper,autumn,all-week,night,0.075,0
CSP with Storage,Vietnam,2020,upper,autumn,all-week,day,0.452,0
CSP with Storage,Vietnam,2025,upper,winter,all-week,night,0.075,0
CSP with Storage,Vietnam,2025,upper,winter,all-week,day,0.452,0
CSP with Storage,Vietnam,2025,upper,spring,all-week,night,0.075,0
CSP with Storage,Vietnam,2025,upper,spring,all-week,day,0.452,0
CSP with Storage,Vietnam,2025,upper,summer,all-week,night,0.075,0
CSP with Storage,Vietnam,2025,upper,summer,all-week,day,0.452,0
CSP with Storage,Vietnam,2025,upper,autumn,all-week,night,0.075,0
CSP with Storage,Vietnam,2025,upper,autumn,all-week,day,0.452,0
CSP with Storage,Vietnam,2030,upper,winter,all-week,night,0.075,0
CSP with Storage,Vietnam,2030,upper,winter,all-week,day,0.452,0
CSP with Storage,Vietnam,2030,upper,spring,all-week,night,0.075,0
CSP with Storage,Vietnam,2030,upper,spring,all-week,day,0.452,0
CSP with Storage,Vietnam,2030,upper,summer,all-week,night,0.075,0
CSP with Storage,Vietnam,2030,upper,summer,all-week,day,0.452,0
CSP with Storage,Vietnam,2030,upper,autumn,all-week,night,0.075,0
CSP with Storage,Vietnam,2030,upper,autumn,all-week,day,0.452,0
CSP with Storage,Vietnam,2040,upper,winter,all-week,night,0.075,0
CSP with Storage,Vietnam,2040,upper,winter,all-week,day,0.452,0
CSP with Storage,Vietnam,2040,upper,spring,all-week,night,0.075,0
CSP with Storage,Vietnam,2040,upper,spring,all-week,day,0.452,0
CSP with Storage,Vietnam,2040,upper,summer,all-week,night,0.075,0
CSP with Storage,Vietnam,2040,upper,summer,all-week,day,0.452,0
CSP with Storage,Vietnam,2040,upper,autumn,all-week,night,0.075,0
CSP with Storage,Vietnam,2040,upper,autumn,all-week,day,0.452,0
CSP with Storage,Vietnam,2050,upper,winter,all-week,night,0.075,0
CSP with Storage,Vietnam,2050,upper,winter,all-week,day,0.452,0
CSP with Storage,Vietnam,2050,upper,spring,all-week,night,0.075,0
CSP with Storage,Vietnam,2050,upper,spring,all-week,day,0.452,0
CSP with Storage,Vietnam,2050,upper,summer,all-week,night,0.075,0
CSP with Storage,Vietnam,2050,upper,summer,all-week,day,0.452,0
CSP with Storage,Vietnam,2050,upper,autumn,all-week,night,0.075,0
CSP with Storage,Vietnam,2050,upper,autumn,all-week,day,0.452,0
CSP without Storage,Vietnam,,upper,winter,all-week,night,0.0,0
CSP without Storage,Vietnam,,upper,winter,all-week,day,0.452,0
CSP without Storage,Vietnam,,upper,spring,all-week,night,0.0,0
CSP without Storage,Vietnam,,upper,spring,all-week,day,0.452,0
CSP without Storage,Vietnam,,upper,summer,all-week,night,0.0,0
CSP without Storage,Vietnam,,upper,summer,all-week,day,0.452,0
CSP without Storage,Vietnam,,upper,autumn,all-week,night,0.0,0
CSP without Storage,Vietnam,,upper,autumn,all-week,day,0.452,0
Coal Power Plant,Vietnam,2015,upper,winter,all-week,night,0.75,0
Coal Power Plant,Vietnam,2015,upper,winter,all-week,day,0.75,0
Coal Power Plant,Vietnam,2015,upper,spring,all-week,night,0.75,0
Coal Power Plant,Vietnam,2015,upper,spring,all-week,day,0.75,0
Coal Power Plant,Vietnam,2015,upper,summer,all-week,night,0.75,0
Coal Power Plant,Vietnam,2015,upper,summer,all-week,day,0.75,0
Coal Power Plant,Vietnam,2015,upper,autumn,all-week,night,0.75,0
Coal Power Plant,Vietnam,2015,upper,autumn,all-week,day,0.75,0
Coal Power Plant,Vietnam,2020,upper,winter,all-week,night,0.75,0
Coal Power Plant,Vietnam,2020,upper,winter,all-week,day,0.75,0
Coal Power Plant,Vietnam,2020,upper,spring,all-week,night,0.75,0
Coal Power Plant,Vietnam,2020,upper,spring,all-week,day,0.75,0
Coal Power Plant,Vietnam,2020,upper,summer,all-week,night,0.75,0
Coal Power Plant,Vietnam,2020,upper,summer,all-week,day,0.75,0
Coal Power Plant,Vietnam,2020,upper,autumn,all-week,night,0.75,0
Coal Power Plant,Vietnam,2020,upper,autumn,all-week,day,0.75,0
Coal Power Plant,Vietnam,2025,upper,winter,all-week,night,0.75,0
Coal Power Plant,Vietnam,2025,upper,winter,all-week,day,0.75,0
Coal Power Plant,Vietnam,2025,upper,spring,all-week,night,0.75,0
Coal Power Plant,Vietnam,2025,upper,spring,all-week,day,0.75,0
Coal Power Plant,Vietnam,2025,upper,summer,all-week,night,0.75,0
Coal Power Plant,Vietnam,2025,upper,summer,all-week,day,0.75,0
Coal Power Plant,Vietnam,2025,upper,autumn,all-week,night,0.75,0
Coal Power Plant,Vietnam,2025,upper,autumn,all-week,day,0.75,0
Coal Power Plant,Vietnam,2030,upper,winter,all-week,night,0.75,0
Coal Power Plant,Vietnam,2030,upper,winter,all-week,day,0.75,0
Coal Power Plant,Vietnam,2030,upper,spring,all-week,night,0.75,0
Coal Power Plant,Vietnam,2030,upper,spring,all-week,day,0.75,0
