Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,40.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,8764.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,50.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.06,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,40.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,8764.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,50.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,0.06,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,40.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,8764.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,50.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,0.06,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,40.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,8764.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,50.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,0.06,Estimated Installed Capacity (MW)
