Technology,Parameter,Value
Solar Resource (Twh/yr),Estimated Renewable Energy Potential,1112
Onshore Wind (Twh/yr),Estimated Renewable Energy Potential,1258.39
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,12429.7
Small Hydropower (MW),Estimated Renewable Energy Potential,86.3
Geothermal (MW),Estimated Renewable Energy Potential,0
