Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,22024
CSP (Twh/yr),Estimated Renewable Energy Potential,16851
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,10805
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,395.9
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,5.2
Hydropower (MW),Estimated Renewable Energy Potential,5269
Small Hydropower (MW),Estimated Renewable Energy Potential,1000
Geothermal (MW),Estimated Renewable Energy Potential,0
