asset,year,region,installed,technology,capacity
1,2050,Kenya,2040,gasboiler,15.51000000000
1,2054,Kenya,2040,gasboiler,15.51000000000
2,2050,Kenya,2040,heatpump,15.49000000000
2,2054,Kenya,2040,heatpump,15.49000000000
3,2050,Kenya,2045,gasboiler,23.00000000000
3,2054,Kenya,2045,gasboiler,23.00000000000
3,2055,Kenya,2045,gasboiler,23.00000000000
3,2059,Kenya,2045,gasboiler,23.00000000000
5,2055,Kenya,2050,gasboiler,19.36100000000
5,2059,Kenya,2050,gasboiler,19.36100000000
5,2060,Kenya,2050,gasboiler,19.36100000000
5,2064,Kenya,2050,gasboiler,19.36100000000
6,2055,Kenya,2050,heatpump,11.63900000000
6,2059,Kenya,2050,heatpump,11.63900000000
6,2060,Kenya,2050,heatpump,11.63900000000
6,2064,Kenya,2050,heatpump,11.63900000000
