Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,2646.7
CSP (Twh/yr),Estimated Renewable Energy Potential,0.41
Wind (Twh/yr),Estimated Renewable Energy Potential,4
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,1309.6
Hydropower (MW),Estimated Renewable Energy Potential,24960.5
Small Hydropower (MW),Estimated Renewable Energy Potential,39.5
Geothermal (MW),Estimated Renewable Energy Potential,273.25
