lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
MYS0PWRBIO001,MYS,PWRBIO001,0,Capacity Scaler,30.0,2001,1.0279999997999998
MYS1PWRBIO001,MYS,PWRBIO001,1,SeguntorBioEn14132,30.0,2001,0.012
MYS0PWRCOA001,MYS,PWRCOA001,0,Capacity Scaler,30.0,1997,1.321236769
MYS1PWRCOA001,MYS,PWRCOA001,1,Jimahpowersta14109,30.0,2009,1.4
MYS2PWRCOA001,MYS,PWRCOA001,2,Manjungpowers14117,30.0,2009,4.186
MYS3PWRCOA001,MYS,PWRCOA001,3,MukahCoalpowe14119,30.0,2009,0.27
MYS4PWRCOA001,MYS,PWRCOA001,4,Sejingkatpower14133,30.0,2001,0.21
MYS5PWRCOA001,MYS,PWRCOA001,5,SultanAzizpow14136,30.0,1996,1.602
MYS6PWRCOA001,MYS,PWRCOA001,6,TanjungBinpow14139,30.0,2010,3.245
MYS7PWRCOA001,MYS,PWRCOA001,7,Tg,30.0,2016,2.1
MYS0PWRNGS001,MYS,PWRNGS001,0,Capacity Scaler,30.0,1994,1.6151949859999999
MYS1PWRNGS001,MYS,PWRNGS001,1,ConnoughtBridg14101,30.0,1994,0.828
MYS2PWRNGS001,MYS,PWRNGS001,2,GB314102,30.0,1994,0.64
MYS3PWRNGS001,MYS,PWRNGS001,3,Gelugor14104,30.0,1994,0.33
MYS4PWRNGS001,MYS,PWRNGS001,4,GentingSanyen14106,30.0,1994,0.762
MYS5PWRNGS001,MYS,PWRNGS001,5,KaparEnergyVe14110,30.0,1994,2.422
MYS0PWRNGS002,MYS,PWRNGS002,0,MIRI14116,30.0,1994,0.079
MYS6PWRNGS001,MYS,PWRNGS001,6,PahlawanPower14120,30.0,1994,0.322
MYS7PWRNGS001,MYS,PWRNGS001,7,Paka14122,30.0,1994,1.137
MYS8PWRNGS001,MYS,PWRNGS001,8,PraiPower14124,30.0,1994,0.35
MYS9PWRNGS001,MYS,PWRNGS001,9,Putrajaya14125,30.0,1994,0.626
MYS10PWRNGS001,MYS,PWRNGS001,10,RanhillPowertr14126,30.0,1994,0.19
MYS1PWRNGS002,MYS,PWRNGS002,1,RanhillPowertr14127,30.0,1994,0.13
MYS11PWRNGS001,MYS,PWRNGS001,11,Segari14131,30.0,1994,1.304
MYS2PWRNGS002,MYS,PWRNGS002,2,SepangarBayPo14134,30.0,1994,0.1
MYS12PWRNGS001,MYS,PWRNGS001,12,TG,30.0,1994,0.192
MYS13PWRNGS001,MYS,PWRNGS001,13,TNBPrai14138,30.0,1994,1.071
MYS14PWRNGS001,MYS,PWRNGS001,14,TeknologiTenag14141,30.0,1994,0.65
MYS15PWRNGS001,MYS,PWRNGS001,15,TuankuJaafar14145,30.0,1994,0.714
MYS16PWRNGS001,MYS,PWRNGS001,16,TyankuJaafar14146,30.0,1994,0.708
MYS17PWRNGS001,MYS,PWRNGS001,17,YTLPaka14147,30.0,1994,0.78
MYS0PWRHYD001,MYS,PWRHYD001,0,BatangAl14098,80.0,1974,0.103
MYS0PWRHYD002,MYS,PWRHYD002,0,Bersia14099,80.0,1974,0.048
MYS1PWRHYD001,MYS,PWRHYD001,1,Capacity Scaler,80.0,1974,2.6789999999000003
MYS2PWRHYD001,MYS,PWRHYD001,2,HuluTerengganu14108,80.0,1974,0.25
MYS3PWRHYD001,MYS,PWRHYD001,3,Kenering14111,80.0,1974,0.12
MYS4PWRHYD001,MYS,PWRHYD001,4,Kenyir14112,80.0,1974,0.4
MYS5PWRHYD001,MYS,PWRHYD001,5,Pergau14123,80.0,1974,0.6
MYS1PWRHYD002,MYS,PWRHYD002,1,SG,80.0,1974,0.054
MYS6PWRHYD001,MYS,PWRHYD001,6,Temenggor14142,80.0,1974,0.348
MYS2PWRHYD002,MYS,PWRHYD002,2,TenomPangi14143,80.0,1974,0.066
MYS0PWROHC002,MYS,PWROHC002,0,MelawaSESB14118,30.0,1996,0.044
MYS1PWROHC002,MYS,PWROHC002,1,SandakanPower14130,30.0,1996,0.034
MYS2PWROHC002,MYS,PWROHC002,2,SerudongPower14135,30.0,1996,0.036
MYS3PWROHC002,MYS,PWROHC002,3,TawauPowerSta14140,30.0,1996,0.064
MYS0PWRSOL001,MYS,PWRSOL001,0,BukitPalongSo14100,20.0,2014,0.003
MYS1PWRSOL001,MYS,PWRSOL001,1,Capacity Scaler,20.0,2014,0.1855
MYS2PWRSOL001,MYS,PWRSOL001,2,GebengSolarPo14103,20.0,2014,0.01
MYS3PWRSOL001,MYS,PWRSOL001,3,GemasSolarPow14105,20.0,2014,0.01
MYS4PWRSOL001,MYS,PWRSOL001,4,HijauSolarPow14107,20.0,2014,0.008
MYS5PWRSOL001,MYS,PWRSOL001,5,KualaLumpurAi14113,20.0,2014,0.019
MYS6PWRSOL001,MYS,PWRSOL001,6,KualaPerlisSo14114,20.0,2014,0.006
MYS7PWRSOL001,MYS,PWRSOL001,7,KualaSawahSol14115,20.0,2014,0.005
MYS8PWRSOL001,MYS,PWRSOL001,8,PajamSolarPow14121,20.0,2014,0.013
MYS9PWRSOL001,MYS,PWRSOL001,9,RimbaTerjunSo14128,20.0,2014,0.002
