Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,1040.0,Estimated Installed Capacity (MW)
Coal Power Plant,2015,14334.24,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2015,134.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,44.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,14324.19,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,626.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,261.5,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,4500.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,168.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,2.42,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,0.45,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,1040.0,Estimated Installed Capacity (MW)
Coal Power Plant,2016,14334.24,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,134.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,44.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,14324.19,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,626.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,261.5,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,4500.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,168.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,2.42,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,0.45,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,1040.0,Estimated Installed Capacity (MW)
Coal Power Plant,2017,14334.24,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,134.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,44.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,14324.19,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,626.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,261.5,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,4500.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,168.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,2.43,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,0.45,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,1040.0,Estimated Installed Capacity (MW)
Coal Power Plant,2018,14334.24,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,134.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,44.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,14324.19,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,626.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,261.5,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,4500.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,168.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,7.44,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,0.45,Estimated Installed Capacity (MW)
