ProcessName,RegionName,Unit,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
Biomass Power Plant,Uganda,PJ/y,10950.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large Hydropower Plant (Dam) (>100MW),Uganda,PJ/y,125158.50000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medium Hydropower Plant (10-100MW),Uganda,PJ/y,14092.650000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil Fired Gas Turbine (SCGT),Uganda,PJ/y,39712.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar PV (Utility),Uganda,PJ/y,2263.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
