ProcessName,RegionName,Time,Level,CO2f,biomass,coal,gas,geothermal,hydro,oil,solar,uranium,wind,electricity
Unit,-,Year,-,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
Biomass Power Plant,Uganda,2020,fixed,0,1.0,0,0,0,0,0,0,0,0,0
CSP with Storage,Uganda,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
CSP without Storage,Uganda,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
Coal Power Plant,Uganda,2020,fixed,0,0,1.0,0,0,0,0,0,0,0,0
Gas Power Plant (CCGT),Uganda,2020,fixed,0,0,0,1.0,0,0,0,0,0,0,0
Gas Power Plant (SCGT),Uganda,2020,fixed,0,0,0,1.0,0,0,0,0,0,0,0
Geothermal Power Plant,Uganda,2020,fixed,0,0,0,0,1.0,0,0,0,0,0,0
Large Hydropower Plant (Dam) (>100MW),Uganda,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Light Fuel Oil Power Plant,Uganda,2020,fixed,0,0,0,0,0,0,1.0,0,0,0,0
Light Fuel Oil Standalone Generator (1kW),Uganda,2020,fixed,0,0,0,0,0,0,1.0,0,0,0,0
Medium Hydropower Plant (10-100MW),Uganda,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Nuclear Power Plant,Uganda,2020,fixed,0,0,0,0,0,0,0,0,1.0,0,0
Offshore Wind,Uganda,2020,fixed,0,0,0,0,0,0,0,0,0,1.0,0
Oil Fired Gas Turbine (SCGT),Uganda,2020,fixed,0,0,0,0,0,0,1.0,0,0,0,0
Onshore Wind,Uganda,2020,fixed,0,0,0,0,0,0,0,0,0,1.0,0
Small Hydropower Plant (<10MW),Uganda,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Solar PV (Distributed with Storage),Uganda,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
Solar PV (Utility),Uganda,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
