Row Labels,PWRHYD001,PWRHYD002,PWROHC002,PWRSOL001,PWRWND001,PWRHYD004,PWRSOL002,PWRBIO001,PWRCOA001,PWRGEO,PWRWND002,PWRTRNIMP
2020,7.4998065,3.7393825,4.1702395,0.11899893,2.0071126,0.096715941,0.21889192,1.0513764,,28.629395,,0.3
2021,7.4998065,3.7393825,3.8525975,0.11899893,2.0071126,4.5089017,0.21889192,1.2346425,0.25232334,35.196344,,0.3
2022,7.4998065,3.7393825,3.4712801,0.11899893,2.0071126,4.5089017,0.21889192,1.41102,0.27132024,39.317065,,0.3
2023,7.4998065,3.7393825,3.4452345,0.11899893,2.0071126,4.5089017,0.21889192,1.41102,0.25232334,42.376701,,0.3
2024,7.4998065,1.8035607,2.5915876,0.11899893,2.0071126,4.5089017,0.21889192,1.41102,0.21627715,48.416304,,0.3
2025,7.4998065,1.8035607,2.317284,0.11899893,2.0071126,4.5089017,0.21889192,1.41102,0.21627715,52.217499,,0.3
2026,7.4998065,1.8035607,2.2627357,0.11899893,2.0071126,4.5089017,0.21889192,1.3998648,0.21627715,56.815378,,0.3
2027,7.4998065,1.8035607,2.0989043,0.11899893,2.0071126,4.5089017,0.21889192,1.3193919,0.21627715,61.845579,,0.3
2028,4.1181302,1.8035607,1.1091802,0.11899893,2.0071126,4.5089017,0.21889192,1.41102,0.21026945,71.200362,,0.3
2029,4.1181302,1.8035607,1.0812584,0.11899893,2.0071126,4.5089017,0.21889192,1.41102,0.21026945,76.682512,,0.3
2030,4.1181302,1.2023738,0.90843978,0.11899893,2.0071126,4.5089017,0.21883407,1.41102,0.21026945,83.219074,,0.3
2031,4.1181302,1.2023738,0.81960977,0.11899893,2.0071126,4.5089017,0.21794323,,0.19241691,91.025618,,0.3
2032,4.1181302,1.2023738,0.8500236,0.11899893,2.0071126,4.5089017,0.21794323,,0.20828063,97.672743,,0.3
2033,4.1044996,1.1796561,,0.11899893,2.0071126,4.5089017,0.21794323,,0.18023096,105.76419,,0.3
2034,4.1181302,1.2023738,0.068288551,1.0699102,2.0071126,4.5089017,0.21345433,,0.28836953,111.53487,,0.3
2035,4.1181302,1.2023738,0.297945,1.8551242,8.4537062,4.5089017,0.20217422,,0.28836953,115.21487,,0.3
2036,4.1181302,1.2023738,0.27593281,2.6521746,8.4537062,4.5089017,0.18032552,,0.22677561,124.13805,,0.3
2037,1.5931453,1.2023738,,4.4935923,8.4537062,4.5089017,0.12888245,,0.28836953,135.38551,,0.3
2038,1.5931453,1.2023738,,5.6841264,9.4705274,4.5089017,0.047706175,,0.28836953,144.29011,,0.3
2039,1.5931453,1.2023738,,6.9038149,10.514363,4.5089017,0.041389315,,0.28836953,153.83236,,0.3
2040,,1.5028972,,8.3502744,14.063464,4.5089017,0.00578467,,0.21604824,162.8799,,0.3
2041,,1.9374673,,9.4466746,14.226845,4.5089017,0.00578467,,0.21604876,171.42618,,0.3
2042,,2.4023462,,10.621703,14.387753,4.5089017,,,0.21627715,180.43465,,0.3
2043,,2.4023462,,11.939367,15.716977,4.5089017,,,0.39624033,189.00396,,0.3
2044,,2.4023462,,13.344161,17.121493,4.5089017,,,0.58787177,198.02566,,0.3
2045,,2.4023462,,14.708896,17.899016,4.5089017,,,0.58787177,208.56713,,0.3
2046,,3.4851847,,16.370635,17.899016,4.5089017,,,0.62944525,219.44492,,0.3
2047,,4.0911579,,17.934978,17.899016,4.5089017,,,0.62944525,231.68712,,0.3
2048,,4.0911579,,19.438959,21.185243,4.5089017,,,0.63148057,240.71266,1.3849779,0.3
2049,,4.6819595,,19.438959,38.273799,4.5089017,,,0.73435279,235.78819,12.416133,0.3
2050,,17.974359,,19.438959,40.123986,4.5089017,,,0.73435279,231.99829,26.637457,0.3
