Power Generation Technology,Year,Value,Parameter
Light Fuel Oil Power Plant,2015,29.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,41.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,2.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,29.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,41.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,2.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,29.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,41.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,2.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,29.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,41.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,2.0,Estimated Installed Capacity (MW)
