Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,474
CSP (Twh/yr),Estimated Renewable Energy Potential,316
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,173
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,1.3
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,0
Small Hydropower (MW),Estimated Renewable Energy Potential,12
Geothermal (MW),Estimated Renewable Energy Potential,0
