Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,466.1,Estimated Installed Capacity (MW)
Coal Power Plant,2015,4835.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2015,63.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,3352.18,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,4878.89,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,72.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,618.15,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,5698.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,1460.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2015,165.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,909.18,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,466.1,Estimated Installed Capacity (MW)
Coal Power Plant,2016,4835.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,63.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,3352.18,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,4878.89,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,72.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,618.15,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,5698.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,1460.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2016,165.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,909.18,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,466.1,Estimated Installed Capacity (MW)
Coal Power Plant,2017,4835.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,63.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,3352.18,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,4878.89,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,72.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,618.15,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,5698.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,1460.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2017,165.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,909.18,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,466.1,Estimated Installed Capacity (MW)
Coal Power Plant,2018,4835.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,63.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,3352.18,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,4878.89,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,72.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,618.15,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,5698.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,1460.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2018,165.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,909.18,Estimated Installed Capacity (MW)
