Technology,Parameter,Value
Solar Resource (Twh/yr),Estimated Renewable Energy Potential,1973
Onshore Wind (Twh/yr),Estimated Renewable Energy Potential,2081.5
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,2205.89
Hydropower (MW),Estimated Renewable Energy Potential,23043
Small Hydropower (MW),Estimated Renewable Energy Potential,2113
Geothermal (MW),Estimated Renewable Energy Potential,2350
