ProcessName,RegionName,Unit,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
Medium Hydropower Plant (10-100MW),Liberia,PJ/y,13140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil Fired Gas Turbine (SCGT),Liberia,PJ/y,35244.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar PV (Distributed with Storage),Liberia,PJ/y,254.25900000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
