,ProcessName,RegionName,Time,Level,CO2f,biomass,coal,gas,geothermal,hydro,oil,solar,uranium,wind,electricity
0,Unit,-,Year,-,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
Crude Oil Refinery Option 1,0,Niger,2020,fixed,0,0,0,0,0,0,1,0,0,0,0
Crude Oil Refinery Option 2,0,Niger,2020,fixed,0,0,0,0,0,0,1,0,0,0,0
