,ProcessName,RegionName,Time,Level,CO2f,biomass,coal,gas,geothermal,hydro,oil,solar,uranium,wind,electricity
0,Unit,-,Year,-,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
0,Crude Oil Refinery Option 1,Gambia,2020,fixed,7.33e-11,0,0,0,0,0,0,0,0,0,1
1,Crude Oil Refinery Option 2,Gambia,2020,fixed,7.33e-11,0,0,0,0,0,0,0,0,0,1
