ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045
Medium Hydropower Plant (10-100MW),Burundi,PJ/y,1.51704,1.4866991999999999,1.456965216,1.4278259116799998,1.3992693934463998,1.3712840055774718
Solar PV (Distributed with Storage),Burundi,PJ/y,0.145512,0.14260176,0.1397497248,0.136954730304,0.13421563569792,0.13153132298396158
