ProcessName,RegionName,Time,StdUnitCapacity,TechnicalLife,GrossEfficiency,OwnUseRate,Availability,MinLoadRate,CCSCaptureRate,DayStorageOutput,CAPEX,OPEX,DiscountRate,RunningCost
Unit,Unit,Year,MW,Year,%,%,%,%,%,GWh,USD/KW,USD/KW,%,USD/KWh
CCS_USC_POS_HC,ASEAN,2010,5000,40,34,7,95,0,85,0,2731.782444,81.95347333,10,0.001
CCS_USC_OXY_HC,ASEAN,2010,5000,40,34,7,95,0,85,0,2875.560468,86.26681403,10,0.001
CCS_USC_PRE_HC,ASEAN,2010,5000,40,31,7,95,0,85,0,3346.029385,100.3808815,10,0.001
COA_SC_LN,ASEAN,2010,5000,40,38,7,95,0,0,0,1535.798136,30.71596273,10,0.001
COA_IGCC_LN,ASEAN,2010,5000,40,42,7,95,0,0,0,2670.953281,53.41906561,10,0.001
CCS_USC_POS_LN,ASEAN,2010,5000,40,32,7,95,0,85,0,2868.371567,86.051147,10,0.001
CCS_NGCC_POS,ASEAN,2010,5000,35,47,7,95,0,85,0,1184.67369,29.61684225,10,0.001
OIL_ST,ASEAN,2010,5000,30,36,7,95,0,0,0,1199.070766,28.77769839,10,0.001
STR_HPS,ASEAN,2010,1000,60,80,0,98,0,0,0.6,2394.092,47.88183,10,0.001
STR_BAT,ASEAN,2010,1000,60,80,0,98,0,0,0.6,1155,11.55,10,0.001
REW_WND_ON,ASEAN,2015,1000,20,100,0,95,0,0,0,1559.29,25.03,10,0.001
REW_WND_OFF,ASEAN,2015,1000,20,100,0,95,0,0,0,4039.67,53.18,10,0.001
REW_PV_GND,ASEAN,2015,1000,24,100,6,95,0,0,0,1673.86,15.27,10,0.001
REW_PV_RFT,ASEAN,2015,1000,23,100,6,95,0,0,0,3268.14,19.85,10,0.001
REW_CSP_NST,ASEAN,2015,1000,24,100,0,95,0,0,0,4176,17.4,10,0.001
COA_SUB_HC,ASEAN,2015,5000,30,35,7,95,0,0,0,1070.99,21.42,10,0.001
