Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,15864
CSP (Twh/yr),Estimated Renewable Energy Potential,11874
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,12137
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,1000.3
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,47.3
Hydropower (MW),Estimated Renewable Energy Potential,1850
Small Hydropower (MW),Estimated Renewable Energy Potential,120
Geothermal (MW),Estimated Renewable Energy Potential,0
