Power Generation Technology,Year,Value,Parameter
Geothermal Power Plant,2015,56.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2015,331.9,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,30.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,186.2,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,271.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2015,4.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,0.88,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,76.4,Estimated Installed Capacity (MW)
Geothermal Power Plant,2016,56.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,331.9,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,30.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,186.2,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,271.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2016,4.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,1.23,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,76.4,Estimated Installed Capacity (MW)
Geothermal Power Plant,2017,56.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,331.9,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,30.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,186.2,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,271.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2017,4.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,1.23,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,76.4,Estimated Installed Capacity (MW)
Geothermal Power Plant,2018,56.0,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,331.9,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,30.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,186.2,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,271.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2018,4.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,1.23,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,76.4,Estimated Installed Capacity (MW)
