Technology,Parameter,Value
Onshore Wind (TWh/yr),Estimated Renewable Energy Potential,697.38
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,1792.05
Hydropower (MW),Estimated Renewable Energy Potential,4000
Small Hydropower (MW),Estimated Renewable Energy Potential,153
Geothermal (MW),Estimated Renewable Energy Potential,800
