ProcessName,RegionName,Unit,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
Gas Power Plant (CCGT),Tunisia,PJ/y,1104179.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas Power Plant (SCGT),Tunisia,PJ/y,44986.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medium Hydropower Plant (10-100MW),Tunisia,PJ/y,2742.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onshore Wind,Tunisia,PJ/y,18779.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Hydropower Plant (<10MW),Tunisia,PJ/y,379.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar PV (Distributed with Storage),Tunisia,PJ/y,250.53600000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar PV (Utility),Tunisia,PJ/y,2649.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
