ProcessName,RegionName,Time,Level,CO2f,biomass,coal,gas,geothermal,hydro,oil,solar,uranium,wind,electricity
Unit,-,Year,-,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
Biomass Power Plant,Tunisia,2020,fixed,0,1.0,0,0,0,0,0,0,0,0,0
CSP with Storage,Tunisia,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
CSP without Storage,Tunisia,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
Large Hydropower Plant (Dam) (>100MW),Tunisia,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Medium Hydropower Plant (10-100MW),Tunisia,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Offshore Wind,Tunisia,2020,fixed,0,0,0,0,0,0,0,0,0,1.0,0
Onshore Wind,Tunisia,2020,fixed,0,0,0,0,0,0,0,0,0,1.0,0
Small Hydropower Plant (<10MW),Tunisia,2020,fixed,0,0,0,0,0,1.0,0,0,0,0,0
Solar PV (Distributed with Storage),Tunisia,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
Solar PV (Utility),Tunisia,2020,fixed,0,0,0,0,0,0,0,1.0,0,0,0
