Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,60.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,136.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,20.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,635.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,71.5,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,22.0,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,3.5,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,60.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,136.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,20.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,635.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,71.5,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,24.0,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,3.5,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,60.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,136.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,20.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,635.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,71.5,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,26.0,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,5.4,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,60.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,136.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,20.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,635.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,71.5,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,28.0,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,5.4,Estimated Installed Capacity (MW)
