Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,9470
CSP (Twh/yr),Estimated Renewable Energy Potential,8582
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,815
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,100.7
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,23.8
Hydropower (MW),Estimated Renewable Energy Potential,4500
Small Hydropower (MW),Estimated Renewable Energy Potential,200
Geothermal (MW),Estimated Renewable Energy Potential,450
