Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,10506
CSP (Twh/yr),Estimated Renewable Energy Potential,10284
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,9165
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,1519.4
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,578.3
Hydropower (MW),Estimated Renewable Energy Potential,0
Small Hydropower (MW),Estimated Renewable Energy Potential,0
Geothermal (MW),Estimated Renewable Energy Potential,0
