ProcessName,RegionName,Time,Level,UtilizationFactor,season,day,MinimumServiceFactor
Solar PV (Utility),Benin,2030,fixed,0.0,summer,night,0
Solar PV (Utility),Benin,2030,fixed,0.309208333,summer,day,0
Solar PV (Utility),Benin,2030,fixed,0.0,autumn,night,0
Solar PV (Utility),Benin,2030,fixed,0.318684066,autumn,day,0
Solar PV (Utility),Benin,2040,fixed,0.0,winter,night,0
Solar PV (Utility),Benin,2040,fixed,0.33512037,winter,day,0
Solar PV (Utility),Benin,2040,fixed,0.0,spring,night,0
Solar PV (Utility),Benin,2040,fixed,0.302018116,spring,day,0
Solar PV (Utility),Benin,2040,fixed,0.0,summer,night,0
Solar PV (Utility),Benin,2040,fixed,0.309208333,summer,day,0
Solar PV (Utility),Benin,2040,fixed,0.0,autumn,night,0
Solar PV (Utility),Benin,2040,fixed,0.318684066,autumn,day,0
Solar PV (Utility),Benin,2050,fixed,0.0,winter,night,0
Solar PV (Utility),Benin,2050,fixed,0.33512037,winter,day,0
Solar PV (Utility),Benin,2050,fixed,0.0,spring,night,0
Solar PV (Utility),Benin,2050,fixed,0.302018116,spring,day,0
Solar PV (Utility),Benin,2050,fixed,0.0,summer,night,0
Solar PV (Utility),Benin,2050,fixed,0.309208333,summer,day,0
Solar PV (Utility),Benin,2050,fixed,0.0,autumn,night,0
Solar PV (Utility),Benin,2050,fixed,0.318684066,autumn,day,0
