Power Generation Technology,Year,Value,Parameter
Gas Power Plant (CCGT),2015,3559.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,145.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,22.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,57.8,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2015,8.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,245.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,1.71,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,3559.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,145.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,22.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,57.8,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2016,8.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,245.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,2.06,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,3559.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,145.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,22.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,57.8,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2017,8.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,245.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,2.08,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,3559.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,145.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,22.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,57.8,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2018,8.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,245.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,2.08,Estimated Installed Capacity (MW)
