Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,4645
CSP (Twh/yr),Estimated Renewable Energy Potential,2045
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,6842
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,1244
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,226.5
Hydropower (MW),Estimated Renewable Energy Potential,0
Small Hydropower (MW),Estimated Renewable Energy Potential,56
Geothermal (MW),Estimated Renewable Energy Potential,0
