Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,140.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,1693.3,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,146.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,1420.54,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,30.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,3089.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,167.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,20.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,1.94,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,26.0,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,140.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,1693.3,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,146.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,1420.54,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,30.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,3089.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,167.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,20.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,2.01,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,26.0,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,140.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,1693.3,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,146.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,1420.54,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,30.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,3089.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,167.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,20.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,2.01,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,26.0,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,140.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,1693.3,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,146.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,1420.54,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,30.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,3089.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,167.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,20.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,2.02,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,26.0,Estimated Installed Capacity (MW)
