Technology,Parameter,Value
Solar Resource (Twh/yr),Estimated Renewable Energy Potential,607
Onshore Wind (Twh/yr),Estimated Renewable Energy Potential,136.98
Offshore Wind (TWh/yr),Estimated Renewable Energy Potential,73.19
Hydropower (MW),Estimated Renewable Energy Potential,24853.4
Small Hydropower (MW),Estimated Renewable Energy Potential,296.6
Geothermal (MW),Estimated Renewable Energy Potential,1700
