Technology,Year,Value,Parameter
Biomass Power Plant,2015,1905.0,Capital Cost ($/kW)
Solar PV (Utility),2015,1898.79,Capital Cost ($/kW)
CSP with Storage,2015,8652.93,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2015,2939.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2015,2500.0,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2015,3499.0,Capital Cost ($/kW)
Onshore Wind,2015,1620.0,Capital Cost ($/kW)
Offshore Wind,2015,4104.0,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2015,6840.0,Capital Cost ($/kW)
Biomass Power Plant,2020,1905.0,Capital Cost ($/kW)
Solar PV (Utility),2020,1791.02,Capital Cost ($/kW)
CSP with Storage,2020,5797.0,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2020,2939.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2020,2500.0,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2020,3499.0,Capital Cost ($/kW)
Onshore Wind,2020,1582.33,Capital Cost ($/kW)
Offshore Wind,2020,3928.19,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2020,4320.0,Capital Cost ($/kW)
Biomass Power Plant,2025,1905.0,Capital Cost ($/kW)
Solar PV (Utility),2025,1683.26,Capital Cost ($/kW)
CSP with Storage,2025,4670.0,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2025,2939.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2025,2500.0,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2025,3499.0,Capital Cost ($/kW)
Onshore Wind,2025,1544.65,Capital Cost ($/kW)
Offshore Wind,2025,3752.37,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2025,3415.0,Capital Cost ($/kW)
Biomass Power Plant,2030,1905.0,Capital Cost ($/kW)
Solar PV (Utility),2030,1575.49,Capital Cost ($/kW)
CSP with Storage,2030,3763.0,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2030,2939.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2030,2500.0,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2030,3499.0,Capital Cost ($/kW)
Onshore Wind,2030,1506.98,Capital Cost ($/kW)
Offshore Wind,2030,3576.56,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2030,2700.0,Capital Cost ($/kW)
Biomass Power Plant,2040,1905.0,Capital Cost ($/kW)
Solar PV (Utility),2040,1359.96,Capital Cost ($/kW)
CSP with Storage,2040,3660.0,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2040,2939.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2040,2500.0,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2040,3499.0,Capital Cost ($/kW)
Onshore Wind,2040,1431.63,Capital Cost ($/kW)
Offshore Wind,2040,3224.93,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2040,2091.0,Capital Cost ($/kW)
Biomass Power Plant,2050,1905.0,Capital Cost ($/kW)
Solar PV (Utility),2050,1144.43,Capital Cost ($/kW)
CSP with Storage,2050,3660.0,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2050,2939.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2050,2500.0,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2050,3499.0,Capital Cost ($/kW)
Onshore Wind,2050,1356.28,Capital Cost ($/kW)
Offshore Wind,2050,2873.3,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2050,2091.0,Capital Cost ($/kW)
