Power Generation Technology,Year,Value,Parameter
Oil Fired Gas Turbine (SCGT),2015,101.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,28.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,66.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,2.02,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,101.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,28.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,66.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,2.53,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,101.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,28.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,66.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,3.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,101.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,28.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,66.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,3.0,Estimated Installed Capacity (MW)
