Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,1257
CSP (Twh/yr),Estimated Renewable Energy Potential,0
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,79
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,108
Small Hydropower (MW),Estimated Renewable Energy Potential,144
Geothermal (MW),Estimated Renewable Energy Potential,0
