ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
Biomass Power Plant,Argentina,PJ/y,20.81376,14.569631999999999,10.198742399999999,7.1391196799999985,4.997383775999999,3.4981686431999988,2.448718050239999
Coal Power Plant,Argentina,PJ/y,83.08285344,58.15799740799999,40.71059818559999,28.497418729919993,19.948193110943993,13.963735177660794,9.774614624362556
Gas Power Plant (CCGT),Argentina,PJ/y,434.42038368,304.094268576,212.8659880032,149.00619160224,104.30433412156799,73.01303388509758,51.10912371956831
Gas Power Plant (SCGT),Argentina,PJ/y,42.952031999999996,30.066422399999993,21.046495679999992,14.732546975999993,10.312782883199995,7.218948018239996,5.0532636127679975
Large Hydropower Plant (Dam) (>100MW),Argentina,PJ/y,290.257344,203.18014079999998,142.22609855999997,99.55826899199997,69.69078829439997,48.78355180607997,34.14848626425598
Light Fuel Oil Power Plant,Argentina,PJ/y,5.077296,3.5541071999999994,2.4878750399999996,1.7415125279999997,1.2190587695999997,0.8533411387199997,0.5973387971039997
Medium Hydropower Plant (10-100MW),Argentina,PJ/y,18.574704,13.0022928,9.10160496,6.371123471999999,4.459786430399999,3.1218505012799986,2.185295350895999
Nuclear Power Plant,Argentina,PJ/y,55.629504,38.940652799999995,27.258456959999997,19.080919871999996,13.356643910399995,9.349650737279996,6.5447555160959965
Oil Fired Gas Turbine (SCGT),Argentina,PJ/y,50.285728799999994,35.20001015999999,24.640007111999992,17.248004978399994,12.073603484879994,8.451522439415996,5.916065707591197
Onshore Wind,Argentina,PJ/y,8.808635520000001,6.166044864000001,4.3162314048,3.02136198336,2.1149533883519998,1.4804673718463996,1.0363271602924797
Small Hydropower Plant (<10MW),Argentina,PJ/y,1.639872,1.1479104,0.8035372799999999,0.5624760959999999,0.3937332671999999,0.27561328703999993,0.19292930092799995
Solar PV (Distributed with Storage),Argentina,PJ/y,0.019552319999999998,0.013686623999999998,0.009580636799999999,0.006706445759999999,0.004694512031999999,0.003286158422399999,0.002300310895679999
Solar PV (Utility),Argentina,PJ/y,0.094608,0.0662256,0.04635792,0.032450544,0.022715380799999997,0.015900766559999998,0.011130536591999998
