RegionName,Unit,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
Mali,PJ/y,39420.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,PJ/y,20892.600000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,PJ/y,985.5000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
