,timeslice,region,technology,year,agent,category,sector,LCOE
20307,"('spring', 'all-week', 'night')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,13.09874702641
20308,"('spring', 'all-week', 'night')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,25.72458989171
20309,"('spring', 'all-week', 'night')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,13.09874702641
20310,"('spring', 'all-week', 'night')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,25.72458989171
20311,"('spring', 'all-week', 'night')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,28.12007575897
20312,"('spring', 'all-week', 'night')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,13.09874702641
20313,"('spring', 'all-week', 'night')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,25.72458989171
20314,"('spring', 'all-week', 'night')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,28.12007575897
20315,"('spring', 'all-week', 'night')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,13.09874702641
20316,"('spring', 'all-week', 'night')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,0.00000000000
20317,"('spring', 'all-week', 'night')",Kenya,Solar PV (Distributed with Storage),2050,A1,retrofit,power,0.00000000000
20318,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,10.84680440304
20319,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,3.68242709688
20320,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,4.32861132136
20321,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,74.42602800999
20322,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,4.32861132136
20323,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,46.20941428688
20324,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,15.21946150922
20325,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,57.79352113312
20326,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,inf
20327,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,3.68242709688
20328,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,10.84680440304
20329,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,3.68242709688
20330,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,10.84680440304
20331,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,3.68242709688
20332,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,10.84680440304
20333,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,19.36843723622
20334,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,3.68242709688
20335,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,10.84680440304
20336,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,19.36843723622
20337,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,3.68242709688
20338,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,0.00000000000
20339,"('spring', 'all-week', 'night')",Kenya,Solar PV (Utility),2050,A1,retrofit,power,0.00000000000
20340,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,27.16493256913
20341,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,14.01035631592
20342,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,16.46886445135
20343,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,84.67618579176
20344,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,16.46886445135
20345,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,56.43907327902
20346,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,56.28363199411
20347,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,36.64740410034
20348,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,36.64740410034
20349,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,14.01035631592
20350,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,27.16493256913
20351,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,14.01035631592
20352,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,27.16493256913
20353,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,14.01035631592
20354,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,27.16493256913
20355,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,28.96733615745
20356,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,14.01035631592
20357,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,27.16493256913
20358,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,28.96733615745
20359,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,14.01035631592
20360,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,0.00000000000
20361,"('spring', 'all-week', 'day')",Kenya,Biomass Power Plant,2050,A1,retrofit,power,0.00000000000
20362,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,34.04916357695
20363,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,18.36746454872
20364,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,21.59054913170
20365,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,88.97883017164
20366,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,21.59054913170
20367,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,60.74171765891
20368,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,73.78739224675
20369,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,48.04445388496
20370,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,48.04445388496
20371,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,18.36746454872
20372,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,34.04916357695
20373,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,18.36746454872
20374,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,34.04916357695
20375,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,18.36746454872
20376,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,34.04916357695
20377,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,33.01688380911
20378,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,18.36746454872
20379,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,34.04916357695
20380,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,33.01688380911
20381,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,18.36746454872
20382,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,0.00000000000
20383,"('spring', 'all-week', 'day')",Kenya,CSP with Storage,2050,A1,retrofit,power,0.00000000000
20384,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,25.34305223244
20385,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,12.85726749523
20386,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,15.11343396111
20387,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,83.53751058133
20388,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,15.11343396111
20389,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,55.30039806859
20390,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,51.65134167930
20391,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,33.63122685770
20392,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,33.63122685770
20393,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,12.85726749523
20394,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,25.34305223244
20395,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,12.85726749523
20396,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,25.34305223244
20397,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,12.85726749523
20398,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,25.34305223244
20399,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,27.89564184175
20400,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,12.85726749523
20401,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,25.34305223244
20402,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,27.89564184175
20403,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,12.85726749523
20404,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,0.00000000000
20405,"('spring', 'all-week', 'day')",Kenya,CSP without Storage,2050,A1,retrofit,power,0.00000000000
20406,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,27.00921402126
20407,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,13.91180027297
20408,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,16.35301399541
20409,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,84.60251742579
20410,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,16.35301399541
20411,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,56.35595750029
20412,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,55.88770394846
20413,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,36.38960739939
20414,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,36.38960739939
20415,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,13.91180027297
20416,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,27.00921402126
20417,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,13.91180027297
20418,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,27.00921402126
20419,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,13.91180027297
20420,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,27.00921402126
20421,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,28.87573701165
20422,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,13.91180027297
20423,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,27.00921402126
20424,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,28.87573701165
20425,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,13.91180027297
20426,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,0.00000000000
20427,"('spring', 'all-week', 'day')",Kenya,Coal Power Plant,2050,A1,retrofit,power,0.00000000000
20428,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,15.58867741632
20429,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,6.68361254833
20430,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,7.85643866195
20431,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,77.44102632126
20432,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,7.85643866195
20433,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,49.20391380852
20434,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,26.84998942923
20435,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,17.48256838432
20436,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,17.48256838432
20437,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,6.68361254833
20438,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,15.58867741632
20439,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,6.68361254833
20440,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,15.58867741632
20441,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,6.68361254833
20442,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,15.58867741632
20443,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,22.15777430286
20444,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,6.68361254833
20445,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,15.58867741632
20446,"('spring', 'all-week', 'day')",Kenya,Gas Power Plant (CCGT),2050,A1,retrofit,power,22.15777430286
