ProcessName,RegionName,Unit,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
Light Fuel Oil Power Plant,Burkina Faso,PJ/y,77844.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medium Hydropower Plant (10-100MW),Burkina Faso,PJ/y,3832.4999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
