ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
Gas Power Plant (CCGT),Cote D'Ivoire,PJ/y,22.579776,15.805843199999998,11.064090239999999,7.744863167999998,5.421404217599998,3.7949829523199985,2.6564880666239987
Gas Power Plant (SCGT),Cote D'Ivoire,PJ/y,15.894143999999999,11.125900799999998,7.788130559999998,5.451691391999998,3.8161839743999986,2.671328782079999,1.869930147455999
Large Hydropower Plant (Dam) (>100MW),Cote D'Ivoire,PJ/y,17.313264,12.119284799999999,8.483499359999998,5.938449551999998,4.156914686399999,2.9098402804799988,2.036888196335999
Medium Hydropower Plant (10-100MW),Cote D'Ivoire,PJ/y,1.5768,1.1037599999999999,0.7726319999999999,0.5408423999999998,0.3785896799999999,0.2650127759999999,0.18550894319999991
Solar PV (Distributed with Storage),Cote D'Ivoire,PJ/y,0.2611180799999999,0.18278265599999993,0.12794785919999996,0.08956350143999997,0.06269445100799997,0.04388611570559998,0.030720280993919984
