,ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
0,Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
0,Biomass Power Plant,R1,2020,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,Electricity,1.0
1,CSP with Storage,R1,2020,fixed,5797000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
2,CSP without Storage,R1,2020,fixed,4058000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
3,Coal Power Plant,R1,2020,fixed,2500000.0,1.0,78000.0,1.0,0.0,1.0,20.0,20.0,20.0,35.0,0.85,1.0,0.37,0.1,energy,coal,Electricity,1.0
4,Gas Power Plant (CCGT),R1,2020,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.85,1.0,0.48,0.1,energy,gas,Electricity,1.0
5,Gas Power Plant (SCGT),R1,2020,fixed,700000.0,1.0,20000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.85,1.0,0.3,0.1,energy,gas,Electricity,1.0
6,Geothermal Power Plant,R1,2020,fixed,4000000.0,1.0,120000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.79,1.0,0.8,0.1,energy,geothermal,Electricity,1.0
7,Large Hydropower Plant (Dam) (>100MW),R1,2020,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,100.0,1.0,0.1,energy,hydro,Electricity,1.0
8,Light Fuel Oil Power Plant,R1,2020,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,oil,Electricity,1.0
9,Light Fuel Oil Standalone Generator (1kW),R1,2020,fixed,750000.0,1.0,23000.0,1.0,0.0,1.0,20.0,20.0,20.0,10.0,0.3,0.001,0.16,0.1,energy,oil,Electricity,1.0
