,ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
10,Medium Hydropower Plant (10-100MW),R1,2020,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,10.0,1.0,0.1,energy,hydro,Electricity,1.0
11,Nuclear Power Plant,R1,2020,fixed,6137000.0,1.0,184110.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.85,1.0,0.33,0.1,energy,uranium,Electricity,1.0
12,Offshore Wind,R1,2020,fixed,3972400.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.45,1.0,1.0,0.1,energy,wind,Electricity,1.0
13,Oil Fired Gas Turbine (SCGT),R1,2020,fixed,1450000.0,1.0,45000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,oil,Electricity,1.0
14,Onshore Wind,R1,2020,fixed,1489000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.21,1.0,1.0,0.1,energy,wind,Electricity,1.0
15,Small Hydropower Plant (<10MW),R1,2020,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,10.0,1.0,0.1,energy,hydro,Electricity,1.0
16,Solar PV (Distributed with Storage),R1,2020,fixed,4320000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.32,1.0,1.0,0.1,energy,solar,Electricity,1.0
17,Solar PV (Utility),R1,2020,fixed,1378000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.32,1.0,1.0,0.1,energy,solar,Electricity,1.0
18,Biomass Power Plant,R1,2015,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,Electricity,1.0
19,Biomass Power Plant,R1,2025,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,Electricity,1.0
20,Biomass Power Plant,R1,2030,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,Electricity,1.0
21,Biomass Power Plant,R1,2040,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,Electricity,1.0
22,Biomass Power Plant,R1,2050,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.5,1.0,0.35,0.1,energy,biomass,Electricity,1.0
23,CSP with Storage,R1,2015,fixed,8645000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
24,CSP with Storage,R1,2025,fixed,4670000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
25,CSP with Storage,R1,2030,fixed,3763000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
26,CSP with Storage,R1,2040,fixed,3660000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
27,CSP with Storage,R1,2050,fixed,3660000.0,1.0,57970.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
28,CSP without Storage,R1,2015,fixed,6051000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
29,CSP without Storage,R1,2025,fixed,3269000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
30,CSP without Storage,R1,2030,fixed,2634000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
31,CSP without Storage,R1,2040,fixed,2562000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
32,CSP without Storage,R1,2050,fixed,2562000.0,1.0,40580.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.45,1.0,1.0,0.1,energy,solar,Electricity,1.0
33,Coal Power Plant,R1,2015,fixed,2500000.0,1.0,78000.0,1.0,0.0,1.0,20.0,20.0,20.0,35.0,0.85,1.0,0.37,0.1,energy,coal,Electricity,1.0
34,Coal Power Plant,R1,2025,fixed,2500000.0,1.0,78000.0,1.0,0.0,1.0,20.0,20.0,20.0,35.0,0.85,1.0,0.37,0.1,energy,coal,Electricity,1.0
35,Coal Power Plant,R1,2030,fixed,2500000.0,1.0,78000.0,1.0,0.0,1.0,20.0,20.0,20.0,35.0,0.85,1.0,0.37,0.1,energy,coal,Electricity,1.0
36,Coal Power Plant,R1,2040,fixed,2500000.0,1.0,78000.0,1.0,0.0,1.0,20.0,20.0,20.0,35.0,0.85,1.0,0.37,0.1,energy,coal,Electricity,1.0
37,Coal Power Plant,R1,2050,fixed,2500000.0,1.0,78000.0,1.0,0.0,1.0,20.0,20.0,20.0,35.0,0.85,1.0,0.37,0.1,energy,coal,Electricity,1.0
38,Gas Power Plant (CCGT),R1,2015,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.85,1.0,0.48,0.1,energy,gas,Electricity,1.0
39,Gas Power Plant (CCGT),R1,2025,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.85,1.0,0.48,0.1,energy,gas,Electricity,1.0
40,Gas Power Plant (CCGT),R1,2030,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.85,1.0,0.48,0.1,energy,gas,Electricity,1.0
41,Gas Power Plant (CCGT),R1,2040,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.85,1.0,0.48,0.1,energy,gas,Electricity,1.0
42,Gas Power Plant (CCGT),R1,2050,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,30.0,0.85,1.0,0.48,0.1,energy,gas,Electricity,1.0
43,Gas Power Plant (SCGT),R1,2015,fixed,700000.0,1.0,20000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.85,1.0,0.3,0.1,energy,gas,Electricity,1.0
44,Gas Power Plant (SCGT),R1,2025,fixed,700000.0,1.0,20000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.85,1.0,0.3,0.1,energy,gas,Electricity,1.0
45,Gas Power Plant (SCGT),R1,2030,fixed,700000.0,1.0,20000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.85,1.0,0.3,0.1,energy,gas,Electricity,1.0
46,Gas Power Plant (SCGT),R1,2040,fixed,700000.0,1.0,20000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.85,1.0,0.3,0.1,energy,gas,Electricity,1.0
47,Gas Power Plant (SCGT),R1,2050,fixed,700000.0,1.0,20000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.85,1.0,0.3,0.1,energy,gas,Electricity,1.0
48,Geothermal Power Plant,R1,2015,fixed,4000000.0,1.0,120000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.79,1.0,0.8,0.1,energy,geothermal,Electricity,1.0
49,Geothermal Power Plant,R1,2025,fixed,4000000.0,1.0,120000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.79,1.0,0.8,0.1,energy,geothermal,Electricity,1.0
50,Geothermal Power Plant,R1,2030,fixed,4000000.0,1.0,120000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.79,1.0,0.8,0.1,energy,geothermal,Electricity,1.0
51,Geothermal Power Plant,R1,2040,fixed,4000000.0,1.0,120000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.79,1.0,0.8,0.1,energy,geothermal,Electricity,1.0
52,Geothermal Power Plant,R1,2050,fixed,4000000.0,1.0,120000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.79,1.0,0.8,0.1,energy,geothermal,Electricity,1.0
53,Large Hydropower Plant (Dam) (>100MW),R1,2015,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,100.0,1.0,0.1,energy,hydro,Electricity,1.0
54,Large Hydropower Plant (Dam) (>100MW),R1,2025,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,100.0,1.0,0.1,energy,hydro,Electricity,1.0
55,Large Hydropower Plant (Dam) (>100MW),R1,2030,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,100.0,1.0,0.1,energy,hydro,Electricity,1.0
56,Large Hydropower Plant (Dam) (>100MW),R1,2040,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,100.0,1.0,0.1,energy,hydro,Electricity,1.0
57,Large Hydropower Plant (Dam) (>100MW),R1,2050,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,100.0,1.0,0.1,energy,hydro,Electricity,1.0
58,Light Fuel Oil Power Plant,R1,2015,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,oil,Electricity,1.0
59,Light Fuel Oil Power Plant,R1,2025,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,oil,Electricity,1.0
60,Light Fuel Oil Power Plant,R1,2030,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,oil,Electricity,1.0
61,Light Fuel Oil Power Plant,R1,2040,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,oil,Electricity,1.0
62,Light Fuel Oil Power Plant,R1,2050,fixed,1200000.0,1.0,35000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,oil,Electricity,1.0
63,Light Fuel Oil Standalone Generator (1kW),R1,2015,fixed,750000.0,1.0,23000.0,1.0,0.0,1.0,20.0,20.0,20.0,10.0,0.3,0.001,0.16,0.1,energy,oil,Electricity,1.0
64,Light Fuel Oil Standalone Generator (1kW),R1,2025,fixed,750000.0,1.0,23000.0,1.0,0.0,1.0,20.0,20.0,20.0,10.0,0.3,0.001,0.16,0.1,energy,oil,Electricity,1.0
65,Light Fuel Oil Standalone Generator (1kW),R1,2030,fixed,750000.0,1.0,23000.0,1.0,0.0,1.0,20.0,20.0,20.0,10.0,0.3,0.001,0.16,0.1,energy,oil,Electricity,1.0
66,Light Fuel Oil Standalone Generator (1kW),R1,2040,fixed,750000.0,1.0,23000.0,1.0,0.0,1.0,20.0,20.0,20.0,10.0,0.3,0.001,0.16,0.1,energy,oil,Electricity,1.0
67,Light Fuel Oil Standalone Generator (1kW),R1,2050,fixed,750000.0,1.0,23000.0,1.0,0.0,1.0,20.0,20.0,20.0,10.0,0.3,0.001,0.16,0.1,energy,oil,Electricity,1.0
68,Medium Hydropower Plant (10-100MW),R1,2015,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,10.0,1.0,0.1,energy,hydro,Electricity,1.0
69,Medium Hydropower Plant (10-100MW),R1,2025,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,10.0,1.0,0.1,energy,hydro,Electricity,1.0
70,Medium Hydropower Plant (10-100MW),R1,2030,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,10.0,1.0,0.1,energy,hydro,Electricity,1.0
71,Medium Hydropower Plant (10-100MW),R1,2040,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,10.0,1.0,0.1,energy,hydro,Electricity,1.0
72,Medium Hydropower Plant (10-100MW),R1,2050,fixed,2500000.0,1.0,75000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,10.0,1.0,0.1,energy,hydro,Electricity,1.0
73,Nuclear Power Plant,R1,2015,fixed,6137000.0,1.0,184110.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.85,1.0,0.33,0.1,energy,uranium,Electricity,1.0
74,Nuclear Power Plant,R1,2025,fixed,6137000.0,1.0,184110.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.85,1.0,0.33,0.1,energy,uranium,Electricity,1.0
75,Nuclear Power Plant,R1,2030,fixed,6137000.0,1.0,184110.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.85,1.0,0.33,0.1,energy,uranium,Electricity,1.0
76,Nuclear Power Plant,R1,2040,fixed,6137000.0,1.0,184110.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.85,1.0,0.33,0.1,energy,uranium,Electricity,1.0
77,Nuclear Power Plant,R1,2050,fixed,6137000.0,1.0,184110.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.85,1.0,0.33,0.1,energy,uranium,Electricity,1.0
78,Offshore Wind,R1,2015,fixed,5000000.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.45,1.0,1.0,0.1,energy,wind,Electricity,1.0
79,Offshore Wind,R1,2025,fixed,3020900.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.45,1.0,1.0,0.1,energy,wind,Electricity,1.0
80,Offshore Wind,R1,2030,fixed,2450000.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.45,1.0,1.0,0.1,energy,wind,Electricity,1.0
81,Offshore Wind,R1,2040,fixed,2275000.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.45,1.0,1.0,0.1,energy,wind,Electricity,1.0
82,Offshore Wind,R1,2050,fixed,2100000.0,1.0,158900.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.45,1.0,1.0,0.1,energy,wind,Electricity,1.0
83,Oil Fired Gas Turbine (SCGT),R1,2015,fixed,1450000.0,1.0,45000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,oil,Electricity,1.0
84,Oil Fired Gas Turbine (SCGT),R1,2025,fixed,1450000.0,1.0,45000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,oil,Electricity,1.0
85,Oil Fired Gas Turbine (SCGT),R1,2030,fixed,1450000.0,1.0,45000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,oil,Electricity,1.0
86,Oil Fired Gas Turbine (SCGT),R1,2040,fixed,1450000.0,1.0,45000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,oil,Electricity,1.0
87,Oil Fired Gas Turbine (SCGT),R1,2050,fixed,1450000.0,1.0,45000.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.8,1.0,0.35,0.1,energy,oil,Electricity,1.0
88,Onshore Wind,R1,2015,fixed,1985000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.21,1.0,1.0,0.1,energy,wind,Electricity,1.0
89,Onshore Wind,R1,2025,fixed,1191000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.21,1.0,1.0,0.1,energy,wind,Electricity,1.0
90,Onshore Wind,R1,2030,fixed,1087000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.21,1.0,1.0,0.1,energy,wind,Electricity,1.0
91,Onshore Wind,R1,2040,fixed,933000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.21,1.0,1.0,0.1,energy,wind,Electricity,1.0
92,Onshore Wind,R1,2050,fixed,933000.0,1.0,59560.0,1.0,0.0,1.0,20.0,20.0,20.0,25.0,0.21,1.0,1.0,0.1,energy,wind,Electricity,1.0
93,Small Hydropower Plant (<10MW),R1,2015,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,10.0,1.0,0.1,energy,hydro,Electricity,1.0
94,Small Hydropower Plant (<10MW),R1,2025,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,10.0,1.0,0.1,energy,hydro,Electricity,1.0
95,Small Hydropower Plant (<10MW),R1,2030,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,10.0,1.0,0.1,energy,hydro,Electricity,1.0
96,Small Hydropower Plant (<10MW),R1,2040,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,10.0,1.0,0.1,energy,hydro,Electricity,1.0
97,Small Hydropower Plant (<10MW),R1,2050,fixed,3000000.0,1.0,90000.0,1.0,0.0,1.0,20.0,20.0,20.0,50.0,0.48,10.0,1.0,0.1,energy,hydro,Electricity,1.0
98,Solar PV (Distributed with Storage),R1,2015,fixed,6840000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.32,1.0,1.0,0.1,energy,solar,Electricity,1.0
99,Solar PV (Distributed with Storage),R1,2025,fixed,3415000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.32,1.0,1.0,0.1,energy,solar,Electricity,1.0
100,Solar PV (Distributed with Storage),R1,2030,fixed,2700000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.32,1.0,1.0,0.1,energy,solar,Electricity,1.0
101,Solar PV (Distributed with Storage),R1,2040,fixed,2091000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.32,1.0,1.0,0.1,energy,solar,Electricity,1.0
102,Solar PV (Distributed with Storage),R1,2050,fixed,2091000.0,1.0,86400.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.32,1.0,1.0,0.1,energy,solar,Electricity,1.0
103,Solar PV (Utility),R1,2015,fixed,2165000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.32,1.0,1.0,0.1,energy,solar,Electricity,1.0
104,Solar PV (Utility),R1,2025,fixed,984000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.32,1.0,1.0,0.1,energy,solar,Electricity,1.0
105,Solar PV (Utility),R1,2030,fixed,886000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.32,1.0,1.0,0.1,energy,solar,Electricity,1.0
106,Solar PV (Utility),R1,2040,fixed,723000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.32,1.0,1.0,0.1,energy,solar,Electricity,1.0
107,Solar PV (Utility),R1,2050,fixed,723000.0,1.0,17910.0,1.0,0.0,1.0,20.0,20.0,20.0,24.0,0.32,1.0,1.0,0.1,energy,solar,Electricity,1.0
