Technology,Parameter,Value
Coal (million tonnes),Proven Reserves,0.0
Crude Oil (billion barrels),Proven Reserves,0.0
Natural Gas (trillion cubic metres),Proven Reserves,0.0
"PV from https://www.sciencedirect.com/science/article/abs/pii/S0301421511007439#:~:text=For%20a%20country%20like%20Taiwan,the%20value%20of%20solar%20radiation. ",Proven Reserves,0.0
