,timeslice,commodity,region,technology,year,agent,category,sector,supply
0,"('winter', 'all-week', 'night')",CO2f,Brazil,Biomass Power Plant,2020.00000000000,A1,newcapa,power,0.00000000000
1,"('winter', 'all-week', 'night')",CO2f,Brazil,Coal Power Plant,2020.00000000000,A1,newcapa,power,0.00000000000
2,"('winter', 'all-week', 'night')",CO2f,Brazil,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
3,"('winter', 'all-week', 'night')",CO2f,Brazil,Gas Power Plant (SCGT),2020.00000000000,A1,newcapa,power,0.00000000000
4,"('winter', 'all-week', 'night')",CO2f,Brazil,Large Hydropower Plant (Dam) (>100MW),2020.00000000000,A1,newcapa,power,0.00000000000
5,"('winter', 'all-week', 'night')",CO2f,Brazil,Medium Hydropower Plant (10-100MW),2020.00000000000,A1,newcapa,power,0.00000000000
6,"('winter', 'all-week', 'night')",CO2f,Brazil,Nuclear Power Plant,2020.00000000000,A1,newcapa,power,0.00000000000
7,"('winter', 'all-week', 'night')",CO2f,Brazil,Oil Fired Gas Turbine (SCGT),2020.00000000000,A1,newcapa,power,0.00000000000
8,"('winter', 'all-week', 'night')",CO2f,Brazil,Onshore Wind,2020.00000000000,A1,newcapa,power,0.00000000000
9,"('winter', 'all-week', 'night')",CO2f,Brazil,Small Hydropower Plant (<10MW),2020.00000000000,A1,newcapa,power,0.00000000000
10,"('winter', 'all-week', 'night')",CO2f,Brazil,Solar PV (Distributed with Storage),2020.00000000000,A1,newcapa,power,0.00000000000
11,"('winter', 'all-week', 'night')",CO2f,Brazil,Solar PV (Utility),2020.00000000000,A1,newcapa,power,0.00000000000
12,"('winter', 'all-week', 'night')",biomass,Brazil,Biomass Power Plant,2020.00000000000,A1,newcapa,power,0.00000000000
13,"('winter', 'all-week', 'night')",biomass,Brazil,Coal Power Plant,2020.00000000000,A1,newcapa,power,0.00000000000
