lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
RWA0PWRNGS002,RWA,PWRNGS002,0,KivuWatt16445,30.0,2016,0.026
RWA0PWRHYD002,RWA,PWRHYD002,0,Mukungwa16446,80.0,1982,0.012
RWA0PWRHYD003,RWA,PWRHYD003,0,MukungwaII16447,80.0,2010,0.003
RWA1PWRHYD002,RWA,PWRHYD002,1,Ntaruka16448,80.0,1959,0.012
RWA2PWRHYD002,RWA,PWRHYD002,2,NyabarongoI16449,80.0,2014,0.028
RWA3PWRHYD002,RWA,PWRHYD002,3,RusiziI16450,80.0,1958,0.03
RWA4PWRHYD002,RWA,PWRHYD002,4,RusiziII16451,80.0,1989,0.044
RWA0PWROHC002,RWA,PWROHC002,0,Jabana116443,30.0,2005,0.008
RWA1PWROHC002,RWA,PWROHC002,1,Jabana216444,30.0,2009,0.02
RWA0PWRSOL001,RWA,PWRSOL001,0,Rwamaganasolar16452,20.0,2015,0.009
RWA0PWRWAS001,RWA,PWRWAS001,0,Gisenyi16442,30.0,2010,0.004
