Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,892
CSP (Twh/yr),Estimated Renewable Energy Potential,789
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,0
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,500
Small Hydropower (MW),Estimated Renewable Energy Potential,24.8
Geothermal (MW),Estimated Renewable Energy Potential,700
