Power Generation Technology,Year,Value,Parameter
Oil Fired Gas Turbine (SCGT),2015,28.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,26.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,9.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,126.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2015,3.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,5.17,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,28.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,26.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,9.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,126.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2016,3.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,10.34,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,28.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,26.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,9.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,126.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2017,3.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,15.07,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,28.0,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,26.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,9.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,126.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2018,3.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,25.4,Estimated Installed Capacity (MW)
