lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
ZAF0PWRBIO001,ZAF,PWRBIO001,0,Capacity Scaler,30.0,2001,0.08603
ZAF1PWRBIO001,ZAF,PWRBIO001,1,Grahamstown16641,30.0,2013,0.004
ZAF2PWRBIO001,ZAF,PWRBIO001,2,Lomati16671,30.0,2001,0.01
ZAF0PWRCOA001,ZAF,PWRCOA001,0,Arnotpowersta16615,30.0,1973,2.352
ZAF1PWRCOA001,ZAF,PWRCOA001,1,Camdenpowerst16621,30.0,1968,1.602
ZAF2PWRCOA001,ZAF,PWRCOA001,2,Duvhapowersta16636,30.0,1982,3.6
ZAF3PWRCOA001,ZAF,PWRCOA001,3,Grootvleipower16644,30.0,1972,1.192
ZAF4PWRCOA001,ZAF,PWRCOA001,4,Hendrinapower16645,30.0,1973,2.002
ZAF5PWRCOA001,ZAF,PWRCOA001,5,Kelvinpowerst16655,30.0,1964,0.6
ZAF6PWRCOA001,ZAF,PWRCOA001,6,Kendalpowerst16656,30.0,1990,4.116
ZAF7PWRCOA001,ZAF,PWRCOA001,7,KomatiPowerSt16661,30.0,1963,1.0
ZAF8PWRCOA001,ZAF,PWRCOA001,8,Krielpowersta16664,30.0,1978,3.0
ZAF9PWRCOA001,ZAF,PWRCOA001,9,KusilePowerSt16665,30.0,2018,0.795
ZAF10PWRCOA001,ZAF,PWRCOA001,10,Lethabopowers16667,30.0,1987,3.705
ZAF11PWRCOA001,ZAF,PWRCOA001,11,Majubapowerst16674,30.0,1999,4.116
ZAF12PWRCOA001,ZAF,PWRCOA001,12,Matimbapowers16676,30.0,1989,3.99
ZAF13PWRCOA001,ZAF,PWRCOA001,13,Matlapowersta16677,30.0,1981,3.6
ZAF14PWRCOA001,ZAF,PWRCOA001,14,PretoriaWestp16686,30.0,1952,0.18
ZAF15PWRCOA001,ZAF,PWRCOA001,15,Rooiwalpowers16691,30.0,1966,0.3
ZAF16PWRCOA001,ZAF,PWRCOA001,16,Tutukapowerst16703,30.0,1987,3.653
ZAF0PWRCSP001,ZAF,PWRCSP001,0,BokpoortSolar16619,,2016,0.05
ZAF1PWRCSP001,ZAF,PWRCSP001,1,Capacity Scaler,,2009,0.15
ZAF2PWRCSP001,ZAF,PWRCSP001,2,KaXuSolarPowe16651,,2015,0.1
