Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,42243
CSP (Twh/yr),Estimated Renewable Energy Potential,43275
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,41195
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,6076.3
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,1559.1
Hydropower (MW),Estimated Renewable Energy Potential,655
Small Hydropower (MW),Estimated Renewable Energy Potential,247
Geothermal (MW),Estimated Renewable Energy Potential,0
