Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,222.53,Estimated Installed Capacity (MW)
Coal Power Plant,2015,38294.5,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2015,2255.04,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,576.39,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2015,376.39,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,1765.0,Estimated Installed Capacity (MW)
CSP with Storage,2015,450.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,600.8,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,42.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2015,7.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,2032.0,Estimated Installed Capacity (MW)
Nuclear Power Plant,2015,1830.0,Estimated Installed Capacity (MW)
Off-grid Hydropower,2015,7.19,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,222.53,Estimated Installed Capacity (MW)
Coal Power Plant,2016,38294.5,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2016,2255.04,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,576.39,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2016,376.39,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,1765.0,Estimated Installed Capacity (MW)
CSP with Storage,2016,450.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,600.8,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,42.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2016,7.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,2032.0,Estimated Installed Capacity (MW)
Nuclear Power Plant,2016,1830.0,Estimated Installed Capacity (MW)
Off-grid Hydropower,2016,7.19,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,222.53,Estimated Installed Capacity (MW)
Coal Power Plant,2017,38294.5,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2017,2255.04,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,576.39,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2017,376.39,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,1765.0,Estimated Installed Capacity (MW)
CSP with Storage,2017,450.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,600.8,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,42.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2017,7.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,2032.0,Estimated Installed Capacity (MW)
Nuclear Power Plant,2017,1830.0,Estimated Installed Capacity (MW)
Off-grid Hydropower,2017,7.19,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,222.53,Estimated Installed Capacity (MW)
Coal Power Plant,2018,38294.5,Estimated Installed Capacity (MW)
Light Fuel Oil Power Plant,2018,2255.04,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,576.39,Estimated Installed Capacity (MW)
Gas Power Plant (SCGT),2018,376.39,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,1765.0,Estimated Installed Capacity (MW)
CSP with Storage,2018,450.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,600.8,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,42.0,Estimated Installed Capacity (MW)
Small Hydropower Plant (<10MW),2018,7.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,2032.0,Estimated Installed Capacity (MW)
Nuclear Power Plant,2018,1830.0,Estimated Installed Capacity (MW)
Off-grid Hydropower,2018,7.19,Estimated Installed Capacity (MW)
