Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,7906
CSP (Twh/yr),Estimated Renewable Energy Potential,0
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,1923
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,0
Hydropower (MW),Estimated Renewable Energy Potential,489
Small Hydropower (MW),Estimated Renewable Energy Potential,28.4
Geothermal (MW),Estimated Renewable Energy Potential,0
