Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,23046
CSP (Twh/yr),Estimated Renewable Energy Potential,15399
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,22746
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,4446.4
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,1749.6
Hydropower (MW),Estimated Renewable Energy Potential,6000
Small Hydropower (MW),Estimated Renewable Energy Potential,3000
Geothermal (MW),Estimated Renewable Energy Potential,10000
